Time,Type,Event,Outcome,Side,Amount,Balance Before,Balance After,Status,Detail
2026-06-02 23:25:25.156,Settled,Georgia vs. Romania,Georgia,LAY,109.76,,,SETTLED,"PnL $112.00, fee $2.24, net $109.76"
2026-06-02 23:25:24.000,Pos. Settlement,,,,109.76,5014.21,5123.97,,Position settlement $109.76
2026-06-02 20:08:03.043,Settled,Roland Garros ATP: Rafael Jodar vs Alexander Zverev,Alexander Zverev,LAY,-31.632911,,,SETTLED,"PnL $-31.63, fee $0.00, net $-31.63"
2026-06-02 20:08:02.000,Pos. Settlement,,,,-31.632911,5045.84,5014.21,,Position settlement $-31.63
2026-06-02 16:34:19.515,Filled,DR Congo vs. Denmark,DR Congo,LAY,44,,,FILLED,Fill $44.00 @ 7.14 (100%)
2026-06-02 12:37:19.388,Bet,Mexico vs. South Africa,South Africa,LAY,29.71,,,FILLED,Order created
2026-06-02 12:26:00.955,Bet,Mexico vs. South Africa,South Africa,LAY,49.2,,,FILLED,Order created
2026-06-02 12:22:43.296,Filled,Netherlands vs. Algeria,Algeria,LAY,24,,,FILLED,Fill $24.00 @ 10.0 (100%)
2026-06-02 12:17:25.620,Filled,Luxembourg vs. Italy,Luxembourg,LAY,44,,,FILLED,Fill $44.00 @ 7.14 (100%)
2026-06-02 07:36:07.066,Settled,Canada vs. Uzbekistan,Canada,LAY,-53.333333,,,SETTLED,"PnL $-53.33, fee $0.00, net $-53.33"
2026-06-02 07:36:07.053,Settled,Canada vs. Uzbekistan,Canada,LAY,-500,,,SETTLED,"PnL $-500.00, fee $0.00, net $-500.00"
2026-06-02 07:36:05.000,Pos. Settlement,,,,-553.333333,5599.18,5045.84,,Position settlement $-553.33
2026-06-02 01:31:09.508,Settled,Türkiye vs. North Macedonia,Türkiye,LAY,-51.365854,,,SETTLED,"PnL $-51.37, fee $0.00, net $-51.37"
2026-06-02 01:31:09.501,Settled,Türkiye vs. North Macedonia,Türkiye,LAY,-32.653061,,,SETTLED,"PnL $-32.65, fee $0.00, net $-32.65"
2026-06-02 01:31:09.491,Settled,Türkiye vs. North Macedonia,Türkiye,LAY,-20.408163,,,SETTLED,"PnL $-20.41, fee $0.00, net $-20.41"
2026-06-02 01:31:07.000,Pos. Settlement,,,,-104.427078,5703.61,5599.18,,Position settlement $-104.43
2026-05-31 08:11:15.575,Settled,Molde FK vs. Sandefjord Fotball,Molde FK,LAY,-347.457627,,,SETTLED,"PnL $-347.46, fee $0.00, net $-347.46"
2026-05-31 08:11:15.568,Settled,Molde FK vs. Sandefjord Fotball,Molde FK,LAY,-50.210489,,,SETTLED,"PnL $-50.21, fee $0.00, net $-50.21"
2026-05-31 08:11:14.000,Pos. Settlement,,,,-397.668116,6101.27,5703.61,,Position settlement $-397.67
2026-05-31 00:22:48.081,Settled,UEFA Champions League Winner,PSG,LAY,-2773.684211,,,SETTLED,"PnL $-2773.68, fee $0.00, net $-2773.68"
2026-05-31 00:22:47.000,Pos. Settlement,,,,-2773.684211,8874.96,6101.27,,Position settlement $-2773.68
2026-05-30 21:21:01.655,Settled,Paris Saint-Germain FC vs. Arsenal FC,Arsenal FC,LAY,219.52,,,SETTLED,"PnL $224.00, fee $4.48, net $219.52"
2026-05-30 21:21:01.643,Settled,Paris Saint-Germain FC vs. Arsenal FC,Arsenal FC,LAY,109.76,,,SETTLED,"PnL $112.00, fee $2.24, net $109.76"
2026-05-30 21:20:59.000,Pos. Settlement,,,,329.28,8545.68,8874.96,,Position settlement $329.28
2026-05-30 06:34:36.327,Settled,Rosenborg BK vs. FK Bodø/Glimt,Rosenborg BK,LAY,95.648,,,SETTLED,"PnL $97.60, fee $1.95, net $95.65"
2026-05-30 06:34:36.318,Settled,Rosenborg BK vs. FK Bodø/Glimt,Rosenborg BK,LAY,95.648,,,SETTLED,"PnL $97.60, fee $1.95, net $95.65"
2026-05-30 06:34:36.311,Settled,Rosenborg BK vs. FK Bodø/Glimt,FK Bodø/Glimt,LAY,277.34,,,SETTLED,"PnL $283.00, fee $5.66, net $277.34"
2026-05-30 06:34:36.299,Settled,Rosenborg BK vs. FK Bodø/Glimt,Rosenborg BK,LAY,95.648,,,SETTLED,"PnL $97.60, fee $1.95, net $95.65"
2026-05-30 06:34:35.000,Pos. Settlement,,,,277.34,8268.34,8545.68,,Position settlement $277.34
2026-05-30 06:34:26.000,Pos. Settlement,,,,286.944,7981.39,8268.34,,Position settlement $286.94
