cluster_start,cluster_end,side,cluster_net,rows,bet_ids,event_title
2026-06-01T23:31:09.491Z,2026-06-01T23:31:09.508Z,LAY,-104.427078,3,"cmpvinod504wmhurqnvoetwyz|cmpvin5wm04vhhurqluxtdx6u|cmpv8wvsa037ghurqgs90e6gw","Türkiye vs. North Macedonia"
2026-05-30T22:22:48.081Z,2026-05-30T22:22:48.081Z,LAY,-2773.684211,1,"cmpskbic60474hutpw340aufv","UEFA Champions League Winner"
2026-05-30T04:34:36.299Z,2026-05-30T04:34:36.327Z,LAY,564.284,4,"cmpmexo6d0n20huuhxo0so5pp|cmpmfyrir0n8qhuuh4l35zb5n|cmpmo1j330orzhuuhg7b1km2g|cmpmol1410oushuuh51jsn4vk","Rosenborg BK vs. FK Bodø/Glimt"
2026-05-30T04:29:40.549Z,2026-05-30T04:29:40.573Z,LAY,-276.139948,4,"cmpn4b1490qf2huuhuxkti1lk|cmpmf57qf0n3zhuuh6svurzkt|cmpr54k640gdphuo4f48jjng5|cmpmgdbaw0n9yhuuhxy8gx82t","Vålerenga Fotball vs. Kristiansund BK"
2026-05-28T05:15:11.446Z,2026-05-28T05:15:11.454Z,LAY,-321.6,2,"cmpo5ou7y04d6huy0mthx7ips|cmpn42jse0qeehuuhm6ybmvjx","Crystal Palace FC vs. Rayo Vallecano de Madrid"
2026-05-24T21:37:09.909Z,2026-05-24T21:37:09.909Z,LAY,-1239.557143,1,"cmpivbo2m012fhux9an3pnl8n","AC Milan vs. Cagliari Calcio"
2026-05-24T21:22:20.134Z,2026-05-24T21:22:20.183Z,LAY,-1708.548077,5,"cmpivihlp015bhux9whcm6eof|cmpjfl5i9034fhux9qvvofw3r|cmpjh0kkc039mhux9auz5pujb|cmpjhav1d03czhux9vm0vvenv|cmpjh6nfz03amhux9bn8labtj","SSC Napoli vs. Udinese Calcio"
2026-05-24T19:47:49.762Z,2026-05-24T19:47:49.769Z,LAY,81.34,2,"cmpiuuc6000z1hux9lw5tqgzp|cmpjgwa3y038bhux9ierfaqt2","Crystal Palace FC vs. Arsenal FC"
2026-05-24T19:47:34.787Z,2026-05-24T19:47:34.787Z,LAY,-465.111111,1,"cmpiuqan200yihux91dpo97zx","Manchester City FC vs. Aston Villa FC"
2026-05-12T01:13:08.805Z,2026-05-12T01:13:08.805Z,LAY,2271.0324,1,"cmp1ilnmz00nrhu7y6hoj8icl","SSC Napoli vs. Bologna FC 1909"
2026-05-10T22:46:09.680Z,2026-05-10T22:46:09.680Z,LAY,2479.4,1,"cmp002z1e00fnhuczev44dt1k","1. FSV Mainz 05 vs. 1. FC Union Berlin"
