settled_at,side,net_usdc,client_pnl_usdc,commission_usdc,bet_id,event_title,settlement_tx_hash
2026-06-02T21:25:25.156Z,LAY,109.76,112,2.24,cmpwi906c00s2humklqk22l4n,"Georgia vs. Romania",0x8ba32f8ce61f620445d9d21d2381a6698ca6f2e4e1840e9d5e088577014230d7
2026-06-02T18:08:03.043Z,LAY,-31.632911,-31.632911,0,cmpwhu37p00p3humk0i3cqgwq,"Roland Garros ATP: Rafael Jodar vs Alexander Zverev",0x3b25e4228a751b9cd755e43add59cdd5db41d039afdb0a188e4e85549564173f
2026-06-02T05:36:07.066Z,LAY,-53.333333,-53.333333,0,cmpvg00h704lfhurqsvju2sa8,"Canada vs. Uzbekistan",0x969b0eb9fc9d943e5c65a18c921766984202368cdd939603d0ef19142f305980
2026-06-02T05:36:07.053Z,LAY,-500,-500,0,cmpvfys7n04k0hurqgpgza9ld,"Canada vs. Uzbekistan",0x969b0eb9fc9d943e5c65a18c921766984202368cdd939603d0ef19142f305980
2026-06-01T23:31:09.491Z,LAY,-20.408163,-20.408163,0,cmpvinod504wmhurqnvoetwyz,"Türkiye vs. North Macedonia",0x74d617d952343b1e4589bb42e3855a5ad369b3da6d83c56bfd9efd41ca8eae32
2026-06-01T23:31:09.501Z,LAY,-32.653061,-32.653061,0,cmpvin5wm04vhhurqluxtdx6u,"Türkiye vs. North Macedonia",0x74d617d952343b1e4589bb42e3855a5ad369b3da6d83c56bfd9efd41ca8eae32
2026-06-01T23:31:09.508Z,LAY,-51.365854,-51.365854,0,cmpv8wvsa037ghurqgs90e6gw,"Türkiye vs. North Macedonia",0x74d617d952343b1e4589bb42e3855a5ad369b3da6d83c56bfd9efd41ca8eae32
2026-05-31T06:11:15.575Z,LAY,-347.457627,-347.457627,0,cmpr45uez0g25huo40exhda9t,"Molde FK vs. Sandefjord Fotball",0x5f1d1b7e26eb6a1c13f6b8cd6bb41984e5c1d731e8f5cb510dc51b105d85b212
2026-05-31T06:11:15.568Z,LAY,-50.210489,-50.210489,0,cmpo6jd9g04j2huy0gxa1gqbs,"Molde FK vs. Sandefjord Fotball",0x5f1d1b7e26eb6a1c13f6b8cd6bb41984e5c1d731e8f5cb510dc51b105d85b212
2026-05-30T22:22:48.081Z,LAY,-2773.684211,-2773.684211,0,cmpskbic60474hutpw340aufv,"UEFA Champions League Winner",0x4dc85a80b908327086e6c3328ce68a78203a3c58f12782ccc2e93aa1e7464717
2026-05-30T19:21:01.655Z,LAY,219.52,224,4.48,cmpsfib1b00jbhubcl0f2r9l5,"Paris Saint-Germain FC vs. Arsenal FC",0x589762a350ead173cd473c713b4ccc336d61a4b1a23f8d8e00c45fb34dd5b43d
2026-05-30T19:21:01.643Z,LAY,109.76,112,2.24,cmpseu66n03mjhuvhulw3e791,"Paris Saint-Germain FC vs. Arsenal FC",0x589762a350ead173cd473c713b4ccc336d61a4b1a23f8d8e00c45fb34dd5b43d
2026-05-30T04:34:36.318Z,LAY,95.648,97.6,1.952,cmpmo1j330orzhuuhg7b1km2g,"Rosenborg BK vs. FK Bodø/Glimt",0x7bdbdcef88c7d1451d2881982ccc8d8e179998f46582102930d3b40e329bc722
2026-05-30T04:34:36.299Z,LAY,95.648,97.6,1.952,cmpmexo6d0n20huuhxo0so5pp,"Rosenborg BK vs. FK Bodø/Glimt",0x7bdbdcef88c7d1451d2881982ccc8d8e179998f46582102930d3b40e329bc722
2026-05-30T04:29:40.566Z,LAY,-325.862069,-325.862069,0,cmpr54k640gdphuo4f48jjng5,"Vålerenga Fotball vs. Kristiansund BK",0x73381e5744090a4510f6768e306477897d90331c26d885df9bda74a9a0028058
2026-05-30T04:29:40.549Z,LAY,87.981485,87.981485,0,cmpn4b1490qf2huuhuxkti1lk,"Vålerenga Fotball vs. Kristiansund BK",0x23cbedd3d65892aaba97017f8b2e9ab1192193a02bd805a3c02f1918633a537a
2026-05-30T04:29:40.573Z,LAY,41.48,41.48,0,cmpmgdbaw0n9yhuuhxy8gx82t,"Vålerenga Fotball vs. Kristiansund BK",0x23cbedd3d65892aaba97017f8b2e9ab1192193a02bd805a3c02f1918633a537a
2026-05-30T04:29:40.558Z,LAY,-79.739364,-79.739364,0,cmpmf57qf0n3zhuuh6svurzkt,"Vålerenga Fotball vs. Kristiansund BK",0x73381e5744090a4510f6768e306477897d90331c26d885df9bda74a9a0028058
2026-05-28T05:15:11.446Z,LAY,-405,-405,0,cmpo5ou7y04d6huy0mthx7ips,"Crystal Palace FC vs. Rayo Vallecano de Madrid",0xa76790580e6d0a84b62d74be7df7646b9fc1cabe508126ffc768c080888496c5
2026-05-28T05:15:11.454Z,LAY,83.4,83.4,0,cmpn42jse0qeehuuhm6ybmvjx,"Crystal Palace FC vs. Rayo Vallecano de Madrid",0x73c3c52235720299358fbdfc32745d636f34855a597342d2f11e1b2f4252c879
2026-05-27T04:35:56.877Z,LAY,225.4,230,4.6,cmpn4gvez0qhthuuhbb50zu5v,"Avalanche vs. Golden Knights",0xb660e7b8b8eecae975074eefc4fa428f288d0aa973156f3c1a3997f6095f0fcc
